,O,D,f,r,tol
566,POINT (913853.5154775069 6295702.938081123),POINT (917729.2818907611 6296691.85197856),0.0032045452421770736,10000.0,0.2
567,POINT (902612.2629201654 6281027.217097349),POINT (902889.9782080511 6286879.928394297),0.0011635440873510223,10000.0,0.2
568,POINT (909661.8776876093 6287136.604319521),POINT (909247.4901097333 6286941.334621956),0.0017135761514524626,10000.0,0.2
569,POINT (908588.1424716566 6272878.248161609),POINT (909490.8800765332 6272893.546611325),0.0008683662934576406,10000.0,0.2
570,POINT (911215.5670186669 6293333.560027534),POINT (910610.9557411817 6293466.850476952),0.004192205206507003,10000.0,0.2
571,POINT (903248.0789642965 6284125.458411716),POINT (903281.4588088698 6285848.354750851),0.00165920830114349,10000.0,0.2
572,POINT (910998.9471355996 6280528.931339253),POINT (913994.2846991556 6280525.859308196),0.0016469012538727428,10000.0,0.2
573,POINT (900666.7904312613 6283125.150789462),POINT (900727.5136909082 6280604.202748018),0.000675008842984916,10000.0,0.2
574,POINT (893814.0959213162 6294264.1077121105),POINT (895233.2822448562 6294658.137065662),0.0001611895582185961,10000.0,0.2
575,POINT (913133.5223101107 6287112.247678329),POINT (912127.4460912957 6284233.709184946),0.0009628999975654365,10000.0,0.2
576,POINT (897183.987890535 6301491.714216208),POINT (901700.8087210867 6291543.185562134),0.0010025310471078758,10000.0,0.2
577,POINT (910423.1201597287 6290479.802913057),POINT (906906.7553447306 6286039.2878071815),0.0034210398305905983,10000.0,0.2
578,POINT (912046.0092410966 6293285.55669632),POINT (904872.2823575813 6290868.6053327415),0.0038392404657986074,10000.0,0.2
579,POINT (898200.731542764 6275248.453136346),POINT (897857.8463952532 6278188.5382913845),0.0011639447034218022,10000.0,0.2
580,POINT (898389.556299641 6276957.20408402),POINT (898186.5930396876 6275217.167356033),0.000863554760759202,10000.0,0.2
581,POINT (912856.9556192866 6290839.272496866),POINT (912350.9284930506 6290936.778896306),0.0025282373769115137,10000.0,0.2
582,POINT (903647.0053133687 6278233.959714195),POINT (901686.461318129 6278954.238110291),0.0006946860728637178,10000.0,0.2
583,POINT (901769.8547464707 6276495.137918403),POINT (910185.6111239726 6271359.483241877),0.0008824282201125414,10000.0,0.2
584,POINT (902876.8778974239 6278546.041736873),POINT (901275.6026851642 6277337.558171462),0.0008350793813013783,10000.0,0.2
585,POINT (910016.7163206877 6292384.83160807),POINT (896332.7035216319 6284763.351427024),0.004231149739950398,10000.0,0.2
586,POINT (909178.0901873114 6288524.312336545),POINT (910772.2239896622 6286068.331207743),0.002771022971917302,10000.0,0.2
587,POINT (906570.5446036255 6282544.7180751115),POINT (906840.9780975392 6287478.014115032),0.0011175968015087305,10000.0,0.2
588,POINT (892397.7411576759 6286294.492287718),POINT (892684.0675800517 6286888.38648745),0.0008556476708956214,10000.0,0.2
589,POINT (900338.2490547766 6293166.1289167665),POINT (900648.8700580593 6291843.318515476),0.0006648690003968588,10000.0,0.2
590,POINT (890471.4215840496 6284915.258543841),POINT (890405.2492890111 6284073.882957691),0.0005074542413268953,10000.0,0.2
591,POINT (915833.6747903524 6297161.610192874),POINT (901817.8551553597 6301363.824166279),0.0016356772609513524,10000.0,0.2
592,POINT (911382.6690741921 6296365.990330269),POINT (914411.0753907978 6296687.30662637),0.003295532462086622,10000.0,0.2
593,POINT (912960.609034028 6292468.510087627),POINT (909218.8585122963 6293848.8578068055),0.002886099642412104,10000.0,0.2
594,POINT (913689.2623971659 6296011.477282625),POINT (909454.1366289053 6294102.18162833),0.003237434559729485,10000.0,0.2
595,POINT (903203.0643107498 6294440.367316959),POINT (912203.0410035548 6280109.892076674),0.001035563512247725,10000.0,0.2
596,POINT (899818.0790629488 6285664.13040281),POINT (901668.413114079 6275981.275450472),0.0005729078940486607,10000.0,0.2
597,POINT (912153.7654087322 6295067.071063281),POINT (913954.4177894881 6297316.299544273),0.004237503937765842,10000.0,0.2
598,POINT (894558.7357369697 6283994.766770557),POINT (908178.4991572981 6286832.131714977),0.0013182051744089368,10000.0,0.2
599,POINT (901936.1987187753 6275697.828649396),POINT (902155.2288231413 6278163.473309401),0.0008648588080463806,10000.0,0.2
600,POINT (900225.1163208787 6275025.571296287),POINT (900031.3579363329 6276040.177149868),0.00134982362806973,10000.0,0.2
601,POINT (911537.2699018971 6295558.7805798),POINT (906459.7095808538 6290951.886873668),0.004012221313272136,10000.0,0.2
602,POINT (902546.0491159129 6290572.7040324835),POINT (893252.9648692152 6284643.777981057),0.0019353258213059168,10000.0,0.2
603,POINT (913954.4177894881 6297316.299544273),POINT (912153.7654087322 6295067.071063281),0.002366509095737118,10000.0,0.2
604,POINT (902887.5624682769 6280051.011529184),POINT (902990.8195826099 6283171.088446239),0.001034150812699842,10000.0,0.2
605,POINT (909241.45882336 6293746.70335803),POINT (911157.4848344086 6295482.881857416),0.00406779601098434,10000.0,0.2
606,POINT (905822.0999518953 6288002.079371132),POINT (905137.0855015521 6289989.853512672),0.0017057716914166815,10000.0,0.2
607,POINT (907334.3030170153 6283779.852879936),POINT (914811.8630536237 6273374.768508383),0.0014302596725671824,10000.0,0.2
608,POINT (900998.0480171097 6269433.045386078),POINT (898790.6320593008 6271934.282490247),0.00013039632070623486,10000.0,0.2
609,POINT (911278.2505567521 6289950.165695628),POINT (907364.7986227083 6293110.619542798),0.002906437276827018,10000.0,0.2
610,POINT (909875.5708660921 6292975.509286892),POINT (906219.1392528454 6292366.080929211),0.004422672608121787,10000.0,0.2
611,POINT (905959.3101103087 6290923.633883601),POINT (909816.6383616773 6278243.3012924865),0.0032729008787895325,10000.0,0.2
612,POINT (898302.4447882657 6297959.751991867),POINT (903562.7395595018 6283758.5489153),0.0005095238681220539,10000.0,0.2
613,POINT (908896.7309190546 6282121.406895136),POINT (897814.4425908723 6294040.426864791),0.0017959916846561554,10000.0,0.2
614,POINT (914342.371446426 6297866.91194619),POINT (914411.0753907978 6296687.30662637),0.0018272335215657933,10000.0,0.2
615,POINT (907641.1395567663 6289709.020997757),POINT (908454.7009396553 6291471.687174195),0.003203459033178259,10000.0,0.2
616,POINT (904082.0137991997 6289222.585871939),POINT (915042.2850831812 6294377.3230067175),0.002154132651349988,10000.0,0.2
617,POINT (901343.9652248828 6283784.253385814),POINT (903831.0226053753 6284692.221487881),0.0008188736254689307,10000.0,0.2
618,POINT (905405.4409458553 6281358.963576075),POINT (911645.2361203032 6273921.449746071),0.000999757707837807,10000.0,0.2
619,POINT (909454.1366289053 6294102.18162833),POINT (896466.9058165455 6295183.3006663555),0.003874406267818932,10000.0,0.2
620,POINT (902175.7033740287 6290504.826343762),POINT (895422.218541387 6296105.977182239),0.0016964869983466713,10000.0,0.2
621,POINT (908927.1365485471 6292388.623920046),POINT (912414.0180271153 6279108.184988843),0.004414766084450413,10000.0,0.2
622,POINT (914162.6675083999 6281719.347097961),POINT (909676.4535958084 6282054.137987235),0.0004944362046929065,10000.0,0.2
623,POINT (908541.1695863863 6293771.123956801),POINT (909006.1390136869 6292619.869924662),0.0035244666253881627,10000.0,0.2
624,POINT (908765.5505893985 6282531.4013524335),POINT (908677.4046518033 6272843.96237211),0.0018418270877232149,10000.0,0.2
625,POINT (909130.6167706668 6278814.440796947),POINT (909834.193016773 6278628.625910153),0.0011517014371400667,10000.0,0.2
626,POINT (912036.1042460932 6279000.148354404),POINT (908927.5115275176 6294178.776514387),0.001546052611821864,10000.0,0.2
627,POINT (909999.5475248705 6295149.394952047),POINT (913296.0888505899 6295047.228879271),0.0032355349297872875,10000.0,0.2
628,POINT (910544.413855389 6270986.905605901),POINT (900919.7024968499 6292165.786652252),0.0008079084900420608,10000.0,0.2
629,POINT (901820.1859409465 6287237.857610808),POINT (904539.7210935233 6291387.535036678),0.0008328089524175225,10000.0,0.2
630,POINT (911911.4180738344 6278647.117915912),POINT (913494.7254267253 6277824.197098823),0.0015068180293962429,10000.0,0.2
631,POINT (896766.2317620942 6287966.860175945),POINT (895392.5868847766 6287178.530559884),0.0008782693543604705,10000.0,0.2
632,POINT (903266.5795734061 6276182.003359835),POINT (898631.1106153766 6274731.8314132),0.0005141254060736854,10000.0,0.2
633,POINT (901890.1084028854 6286488.305472532),POINT (901641.0797158522 6290135.409603829),0.0009036242101537038,10000.0,0.2
634,POINT (898654.591385278 6274791.170017958),POINT (898769.7372758295 6274333.482976454),0.0014162164455316473,10000.0,0.2
635,POINT (902906.325893287 6291765.452379734),POINT (907912.5868383475 6286434.103658617),0.002067695732434776,10000.0,0.2
636,POINT (909708.2361684837 6296735.150521329),POINT (897609.0633638647 6273763.770073137),0.001489854889171805,10000.0,0.2
637,POINT (912026.0275860388 6294515.501119969),POINT (912382.4153325125 6284344.37862248),0.004295663339120744,10000.0,0.2
638,POINT (911509.5725901331 6288854.508338214),POINT (903967.2206759686 6291192.371807942),0.002241436738419723,10000.0,0.2
639,POINT (910688.837493754 6294056.913390968),POINT (910888.5825330038 6293879.292088936),0.004321427234453229,10000.0,0.2
640,POINT (903926.2816410116 6285117.162446365),POINT (907650.17449133 6292779.041148088),0.0018088171715674995,10000.0,0.2
641,POINT (909578.7937666595 6275662.083643169),POINT (911006.2561122417 6273728.250812224),0.0012191002557682276,10000.0,0.2
642,POINT (903464.2572524622 6284041.191835356),POINT (909093.5286168739 6287522.7270995835),0.0016899713597874602,10000.0,0.2
643,POINT (916378.5672767041 6298074.993267242),POINT (915781.8189122323 6296497.242961579),0.0010298470847985358,10000.0,0.2
644,POINT (896278.9120162812 6294043.394980094),POINT (905056.7311300526 6292542.6609487645),0.0004654574723155627,10000.0,0.2
645,POINT (895986.8262395305 6287484.745001338),POINT (899660.0213460753 6281401.04839295),0.0010978099069085519,10000.0,0.2
646,POINT (911948.3939526537 6287553.657279121),POINT (912260.0002663578 6289075.509149559),0.0012924466993198675,10000.0,0.2
647,POINT (913855.578365731 6295702.818905803),POINT (913852.280182396 6295182.179147084),0.003203199053723885,10000.0,0.2
648,POINT (907103.7716249909 6271201.395066151),POINT (912899.3032935666 6271980.541472272),0.000572595340382486,10000.0,0.2
649,POINT (908391.1289587471 6287510.703601807),POINT (896864.6133892888 6294033.621720828),0.0019796723507708113,10000.0,0.2
650,POINT (895078.1059426959 6293827.368277891),POINT (893681.3388909604 6294322.444557529),0.0003191350217843264,10000.0,0.2
651,POINT (894160.334473876 6284044.93693732),POINT (892877.4354089133 6285043.756305212),0.0013991902674284466,10000.0,0.2
652,POINT (914648.1821606152 6298053.473434238),POINT (913591.2518764844 6297957.949520664),0.0016182856964459943,10000.0,0.2
653,POINT (916094.9303013429 6290691.631029165),POINT (916262.148746877 6291476.280161586),0.0008015819569674029,10000.0,0.2
654,POINT (896283.1112938568 6284011.745555177),POINT (893869.3701345958 6286564.430690159),0.0008964665213174241,10000.0,0.2
655,POINT (909962.6283411025 6289114.614537856),POINT (914210.6747267086 6296610.068805851),0.0030312686609284736,10000.0,0.2
656,POINT (910464.152437591 6295790.8678529365),POINT (914411.0753907978 6296687.30662637),0.0030720092246541387,10000.0,0.2
657,POINT (913760.0845498291 6293347.540230034),POINT (914627.5175575521 6292263.753150007),0.00270070947479453,10000.0,0.2
658,POINT (902456.9416965339 6280037.854100557),POINT (903145.1789798711 6280143.937515646),0.0010357244456637698,10000.0,0.2
659,POINT (905068.2834764891 6288198.228036448),POINT (898045.154085126 6301205.751334938),0.0018139196396675125,10000.0,0.2
660,POINT (906644.7083008504 6300306.172183353),POINT (911207.5766836662 6283946.3077146085),0.00017520344364881148,10000.0,0.2
661,POINT (914615.5630225679 6295009.625010222),POINT (908389.4758561375 6288012.528824868),0.002519565517665688,10000.0,0.2
662,POINT (891049.2812459486 6282888.379039399),POINT (892197.5827703832 6282896.071451927),0.00100865275747546,10000.0,0.2
663,POINT (912335.4297476157 6294602.487847598),POINT (913423.1914413369 6294643.995711861),0.004187022340917297,10000.0,0.2
664,POINT (910489.8812731334 6273310.175062284),POINT (908461.6638076196 6270996.551288888),0.001548550638387403,10000.0,0.2
665,POINT (894145.6870208539 6288886.034567468),POINT (901705.7574213587 6295698.821157983),0.0005215575046221995,10000.0,0.2
666,POINT (908815.0370203633 6290418.788321018),POINT (904215.9953989924 6290273.419961566),0.00393420263818298,10000.0,0.2
667,POINT (909476.5710288433 6290255.589588215),POINT (909106.736522891 6293718.365502797),0.0037912794808257267,10000.0,0.2
668,POINT (911515.039628577 6292489.36772457),POINT (912156.9888907601 6293607.7895016465),0.0036444613214358336,10000.0,0.2
669,POINT (911992.326621041 6289875.739883017),POINT (909615.8534473089 6290486.860891223),0.002601775598236986,10000.0,0.2
670,POINT (909176.8694945055 6275615.672475178),POINT (910737.3936474486 6276322.870479103),0.0011172301261669925,10000.0,0.2
671,POINT (895217.3531533286 6288376.556161612),POINT (894823.9951597215 6286484.576159885),0.0009075408245365825,10000.0,0.2
672,POINT (907618.8928740879 6271046.529954843),POINT (898292.6394486724 6278485.382250901),0.0005863972511854776,10000.0,0.2
673,POINT (912309.2362938665 6289739.493523295),POINT (913690.8240345279 6292140.286578173),0.0023997099974144473,10000.0,0.2
674,POINT (911353.6332846923 6292741.043605873),POINT (912248.4495697103 6297086.169228088),0.0038538492981930704,10000.0,0.2
675,POINT (899683.3735339842 6290594.813690727),POINT (893102.7445951325 6284127.779038541),0.0008705050719444703,10000.0,0.2
676,POINT (904694.6670127532 6278021.664405277),POINT (905656.2206261003 6278490.672591636),0.0006566357979349578,10000.0,0.2
677,POINT (911854.5195557328 6275589.6902445555),POINT (908121.5100676571 6287926.187481704),0.001387455983167865,10000.0,0.2
678,POINT (896046.3691613858 6301645.135145639),POINT (896676.42524143 6301140.251615955),0.0007958473674774629,10000.0,0.2
679,POINT (901305.898291961 6286361.5934129115),POINT (903208.9132870709 6290130.49854595),0.0007580279813504428,10000.0,0.2
680,POINT (892411.0971946272 6286290.709178949),POINT (895608.1101532617 6288475.337821854),0.0008617318320537046,10000.0,0.2
681,POINT (915522.1787130143 6297237.303246722),POINT (915282.210639763 6297392.159282049),0.0018078550795163754,10000.0,0.2
682,POINT (914362.3475773562 6282622.004093422),POINT (911598.3685620863 6282005.46206104),0.00041350501504113256,10000.0,0.2
683,POINT (902698.9539325896 6284825.524478885),POINT (902100.0344426495 6286274.974149546),0.0014326384895289328,10000.0,0.2
684,POINT (913899.3095776663 6288487.918238662),POINT (915022.4654448152 6291712.550815312),0.0011036831826225372,10000.0,0.2
685,POINT (897849.4089189179 6270340.495950441),POINT (898434.0446929602 6278406.44423108),0.0005285406225526895,10000.0,0.2
686,POINT (905378.1566973511 6282673.524816299),POINT (903908.6592460334 6286019.737676194),0.0010690853802035548,10000.0,0.2
687,POINT (908884.885034656 6282073.926837169),POINT (911761.6882983479 6280122.438723282),0.001786792540992448,10000.0,0.2
688,POINT (892197.5827703832 6282896.071451927),POINT (891049.2812459486 6282888.379039399),0.001192065789383991,10000.0,0.2
689,POINT (901889.9766093846 6277506.597530466),POINT (901685.9658082114 6278953.263476254),0.0008436487498166608,10000.0,0.2
690,POINT (910273.03068969 6293980.596789107),POINT (912250.6595158447 6294542.158576475),0.004269258632592333,10000.0,0.2
691,POINT (898675.8377210838 6274847.12670738),POINT (898460.8942732194 6278403.381618759),0.0014237831320438145,10000.0,0.2
692,POINT (911029.7642045768 6287414.66137387),POINT (894160.334473876 6284044.93693732),0.0015069233185964568,10000.0,0.2
693,POINT (907721.7419321511 6287686.421939114),POINT (908376.2001556607 6274940.654125083),0.0019158191575864045,10000.0,0.2
694,POINT (911454.6573997352 6274948.07371618),POINT (905604.4312987644 6291067.0781809),0.0014664244845583748,10000.0,0.2
695,POINT (912790.374829048 6279619.229664616),POINT (900436.6376862193 6299324.466497114),0.0012844087891932076,10000.0,0.2
696,POINT (908404.5789635035 6291714.411597934),POINT (892482.5246807669 6280477.284820491),0.004196129690630498,10000.0,0.2
697,POINT (902545.8223881109 6290567.700268414),POINT (892925.4901655177 6279551.178513844),0.0019344504678748798,10000.0,0.2
698,POINT (911058.3821164079 6277656.465887241),POINT (912742.3096300266 6276917.00608011),0.0013572416663603128,10000.0,0.2
699,POINT (902550.7584226265 6292220.475096087),POINT (909427.7011446555 6296962.58277774),0.001567636809675062,10000.0,0.2
700,POINT (907598.7428808012 6283741.954408792),POINT (908002.7838907071 6275576.957067181),0.0015095376294307883,10000.0,0.2
701,POINT (915489.579011923 6290599.694697328),POINT (911449.1773381925 6295029.50964148),0.0010939180739686525,10000.0,0.2
702,POINT (904530.9379925801 6283544.917953059),POINT (903922.9905214006 6286540.173631303),0.0013832831634172868,10000.0,0.2
703,POINT (913402.9947092847 6293833.815582739),POINT (911426.7196849753 6291487.465147032),0.0031899876352312726,10000.0,0.2
704,POINT (914425.9955296698 6294608.1253713295),POINT (914169.2247755271 6289840.11932779),0.002588417919461833,10000.0,0.2
705,POINT (914716.218579941 6297820.738901353),POINT (906825.0252556726 6289939.865765909),0.001807893791132553,10000.0,0.2
706,POINT (903793.0468824476 6284681.87874071),POINT (903814.384006846 6283968.7307820795),0.0017759381902667402,10000.0,0.2
707,POINT (908473.5006826359 6287821.022044508),POINT (905025.2570653554 6289410.832766792),0.002192815699273901,10000.0,0.2
708,POINT (905052.2011736947 6288873.953627277),POINT (909048.6451619605 6270830.482021181),0.0020875850575762796,10000.0,0.2
709,POINT (912699.3039921655 6293495.158905281),POINT (904876.80294381 6292843.0480102245),0.0035558220677199925,10000.0,0.2
710,POINT (916016.4421309468 6290090.5214387495),POINT (914627.0674454897 6292259.765013008),0.0007803329518102394,10000.0,0.2
711,POINT (914131.9884021884 6296644.217722682),POINT (916285.3659872381 6295640.221541601),0.0027847326146423013,10000.0,0.2
712,POINT (910716.7145185084 6271755.614718387),POINT (911335.2012648906 6276202.374232169),0.001136008910566742,10000.0,0.2
713,POINT (907907.3606612999 6293331.621844788),POINT (903007.0453071714 6301603.247681154),0.00335709105253337,10000.0,0.2
714,POINT (910536.0884841082 6292852.530608354),POINT (891214.5861047774 6280196.6660621045),0.004214914843359258,10000.0,0.2
715,POINT (911271.7000485671 6289062.951563289),POINT (911614.0478534186 6290261.894850908),0.002475578443095079,10000.0,0.2
716,POINT (911454.6573997352 6274948.07371618),POINT (905604.4312987644 6291067.0781809),0.0014664244845583748,10000.0,0.2
717,POINT (911419.787660989 6291291.682333289),POINT (914923.7198567954 6292570.772029214),0.003173982385935464,10000.0,0.2
718,POINT (904993.7052526101 6280229.903173224),POINT (908891.2647576563 6282079.577899408),0.0009582736063594118,10000.0,0.2
719,POINT (900259.1886540749 6286950.96469452),POINT (898075.5691528837 6286048.9817279475),0.0005869770893546643,10000.0,0.2
720,POINT (913793.4509642946 6298379.796482739),POINT (915717.2329294446 6297408.183330518),0.0013430223720525597,10000.0,0.2
721,POINT (903831.0226053753 6284692.221487881),POINT (901343.9652248828 6283784.253385814),0.0017749499758969046,10000.0,0.2
722,POINT (905847.9013476885 6272357.586719332),POINT (910981.42777894 6272802.951868811),0.00035339138195943965,10000.0,0.2
723,POINT (908223.2694916336 6283280.303489035),POINT (909040.275632395 6278691.23593639),0.001723669098661866,10000.0,0.2
724,POINT (901671.1920168789 6292354.61174028),POINT (894504.1221949013 6293812.89008442),0.001036952853222107,10000.0,0.2
725,POINT (912327.3452071961 6294587.4006758705),POINT (909283.9414221179 6292981.112205823),0.004188956040986775,10000.0,0.2
726,POINT (911031.2015736187 6285109.545719626),POINT (909188.1619497025 6290743.401079728),0.001067758403885964,10000.0,0.2
727,POINT (908701.3007256938 6290830.263689516),POINT (910451.5098242817 6293993.361543797),0.004040127331876452,10000.0,0.2
728,POINT (899110.706709854 6271875.050048709),POINT (897849.4089189179 6270340.495950441),0.0008152439519826564,10000.0,0.2
729,POINT (917042.3109998467 6298379.388373786),POINT (914411.0753907978 6296687.30662637),0.0007367998746477006,10000.0,0.2
730,POINT (902965.6702374099 6300906.7869762825),POINT (903278.4995348463 6300973.019720281),0.0006684949741488283,10000.0,0.2
731,POINT (902980.1020947776 6295214.815932394),POINT (904846.3689229649 6292729.917576047),0.0008332127276428785,10000.0,0.2
732,POINT (904396.4993928098 6291502.178342263),POINT (913286.2275764683 6292094.939128177),0.0034076314558486543,10000.0,0.2
733,POINT (905662.7007054348 6294359.42967602),POINT (907791.3106856358 6290401.743362663),0.0011592086059619348,10000.0,0.2
734,POINT (904312.9801324077 6291012.834126241),POINT (905101.2380760459 6279355.206128342),0.0033738713377021294,10000.0,0.2
735,POINT (903755.415250784 6276088.910459985),POINT (910601.7128437883 6271495.363958331),0.00041503252685685276,10000.0,0.2
736,POINT (912809.4687358107 6296494.813392399),POINT (910528.1733525364 6295426.418040102),0.003296605146807878,10000.0,0.2
737,POINT (907695.0998580746 6291385.668905469),POINT (912970.4211040661 6278140.62238637),0.0038406397131509366,10000.0,0.2
738,POINT (900645.7837067044 6290072.585580712),POINT (897531.9291124253 6289686.858540086),0.0010887339612940744,10000.0,0.2
739,POINT (910276.8951591384 6274983.335686289),POINT (908283.8126111629 6275221.972327298),0.0014505966035264616,10000.0,0.2
740,POINT (904607.0421561268 6275653.16264824),POINT (905731.9930083486 6276549.149928944),0.00031891002423236546,10000.0,0.2
741,POINT (907995.2089133153 6289539.523695676),POINT (908391.6811269957 6287594.46049162),0.0032881943529330477,10000.0,0.2
742,POINT (915123.2495696777 6290870.767202097),POINT (912385.9329728317 6291472.636035404),0.0013152167314271915,10000.0,0.2
743,POINT (910330.4839778994 6283729.690630682),POINT (905026.5738382952 6291195.823343938),0.001305959911443802,10000.0,0.2
744,POINT (910760.0075565196 6294837.525416883),POINT (916575.1896241631 6290502.780083446),0.00403671270697213,10000.0,0.2
745,POINT (908687.6522625777 6287746.91377854),POINT (909095.2127564829 6287516.608799366),0.0021681889247748398,10000.0,0.2
746,POINT (907374.9259443365 6280949.273953366),POINT (892885.3278566087 6284271.299121778),0.0011068738566875765,10000.0,0.2
747,POINT (913609.4885560238 6295295.054270119),POINT (913771.9872126378 6294581.190370566),0.0033956711321733077,10000.0,0.2
748,POINT (910276.8951591384 6274983.335686289),POINT (908283.8126111629 6275221.972327298),0.0014505966035264616,10000.0,0.2
749,POINT (909455.4683833085 6279867.818599621),POINT (912666.9573186745 6277053.844568934),0.0013175085903084159,10000.0,0.2
750,POINT (909457.632865591 6274057.015330473),POINT (897979.8643880759 6300669.240142397),0.0012753945496013755,10000.0,0.2
751,POINT (907845.0025298825 6296997.29574413),POINT (907602.7031213436 6289203.500793492),0.0005115754962289925,10000.0,0.2
752,POINT (909289.737232255 6281651.077601809),POINT (910306.2839135134 6288935.677423855),0.0016706431609013392,10000.0,0.2
753,POINT (894887.8501232916 6293508.791969596),POINT (898871.2242880696 6275008.35693907),0.0002781954510618162,10000.0,0.2
754,POINT (894160.334473876 6284044.93693732),POINT (892628.3246287601 6281798.637086593),0.0013991902674284466,10000.0,0.2
755,POINT (915871.3608197315 6289407.962991288),POINT (910067.1768244021 6295398.864702705),0.00070832421746839,10000.0,0.2
756,POINT (907184.2938510824 6286054.323497379),POINT (912064.4104576944 6276993.976482191),0.0012927000556563876,10000.0,0.2
757,POINT (910970.7367761051 6289893.697179175),POINT (903750.7080519747 6289162.487893191),0.0030078827889269298,10000.0,0.2
758,POINT (917278.8414231203 6295184.90967177),POINT (916863.1552086459 6295858.235434147),0.0010850468105670532,10000.0,0.2
759,POINT (912301.1429225464 6275128.234373652),POINT (911834.868557638 6275010.796984685),0.0012254258977715976,10000.0,0.2
760,POINT (896947.512201993 6283787.641208278),POINT (897269.6961769607 6284569.61535298),0.0008472561057914626,10000.0,0.2
761,POINT (910834.3605458008 6288511.751371325),POINT (912144.1020736117 6289664.250630347),0.0022715402225896818,10000.0,0.2
762,POINT (910594.9470096177 6272894.643135703),POINT (910611.6760016843 6272038.183394053),0.0014992455310343271,10000.0,0.2
763,POINT (910831.0690317466 6294090.337877063),POINT (908945.6215474335 6287731.480300714),0.004335516285631168,10000.0,0.2
764,POINT (911758.9008236027 6289696.571311384),POINT (910791.4457563164 6288406.359556261),0.002620524972522266,10000.0,0.2
765,POINT (899235.7439128573 6284259.57267017),POINT (898660.4488212643 6299180.179230419),0.0007381354074844904,10000.0,0.2
766,POINT (902978.7848243248 6295215.895421461),POINT (911984.0500570845 6293778.847579859),0.0008328086587939178,10000.0,0.2
767,POINT (911011.4272972434 6294175.747429503),POINT (904324.4186935055 6290998.626648039),0.004347138995456153,10000.0,0.2
768,POINT (910986.4376366182 6294054.2643164145),POINT (911719.9104425814 6294228.127464628),0.004354355716328445,10000.0,0.2
769,POINT (912291.1459864189 6289901.101825751),POINT (911736.3307489746 6284775.681831888),0.002482386502142952,10000.0,0.2
770,POINT (904059.6104259129 6289520.386248315),POINT (902998.0002521786 6284854.860236194),0.0023576535918344555,10000.0,0.2
771,POINT (902264.2654483544 6292394.569629865),POINT (907763.9663112458 6291942.111113289),0.001305701868187847,10000.0,0.2
772,POINT (904871.494068181 6290870.156038335),POINT (916863.1552086459 6295858.235434147),0.0034170604618137105,10000.0,0.2
773,POINT (903203.0643107498 6294440.367316959),POINT (912203.0410035548 6280109.892076674),0.001035563512247725,10000.0,0.2
774,POINT (898907.7399952246 6277120.777013291),POINT (901686.4323156269 6278953.738104675),0.0009342733881369322,10000.0,0.2
775,POINT (914081.8062729805 6294574.325795652),POINT (912274.7508185045 6298498.585296515),0.002885689566578211,10000.0,0.2
776,POINT (915489.579011923 6290599.694697328),POINT (911449.1773381925 6295029.50964148),0.0010939180739686525,10000.0,0.2
777,POINT (913560.2578935046 6277472.6683411775),POINT (910316.6365644296 6273951.94024124),0.0007593492074192345,10000.0,0.2
778,POINT (914053.5093827131 6297031.094671395),POINT (914755.271110484 6296970.9968764465),0.002575623793085939,10000.0,0.2
779,POINT (905507.9637168099 6279725.4621552555),POINT (904640.8165593634 6279289.09365472),0.000959840945057581,10000.0,0.2
780,POINT (903465.9228293921 6293691.20044063),POINT (903597.0052628198 6293814.064054582),0.001419396913236767,10000.0,0.2
781,POINT (911785.2921337383 6295169.644858375),POINT (912499.6705017327 6289857.427707166),0.004247479811809086,10000.0,0.2
782,POINT (908237.5314646906 6293149.977148542),POINT (909292.5830483498 6289935.087926155),0.0038379714599305324,10000.0,0.2
783,POINT (910819.6578533358 6285124.808302841),POINT (908852.1139642138 6291309.223333938),0.0011010459195114747,10000.0,0.2
784,POINT (911783.6886042296 6274989.182105564),POINT (910657.3667506583 6274088.198436437),0.0013936978709921332,10000.0,0.2
785,POINT (914648.1821606152 6298053.473434238),POINT (913495.8899155201 6295377.885284075),0.0016182856964459943,10000.0,0.2
786,POINT (890804.136379169 6282327.739378379),POINT (906400.1033752323 6283874.114502696),0.0008819241009472666,10000.0,0.2
787,POINT (907424.2348261011 6284553.319266036),POINT (906839.5085549003 6284906.284210423),0.0013943497017085968,10000.0,0.2
788,POINT (914169.2247755271 6289840.11932779),POINT (914425.9955296698 6294608.1253713295),0.001518191629024309,10000.0,0.2
789,POINT (908636.6944869104 6278157.217558324),POINT (902767.0711470824 6294760.054111561),0.0010118914174557206,10000.0,0.2
790,POINT (896068.1108917033 6293915.620800994),POINT (901676.8118136225 6292275.0212023305),0.00044818682193440204,10000.0,0.2
791,POINT (909709.0335182464 6292553.643676344),POINT (911166.8995387065 6292139.708643304),0.0043834920082384335,10000.0,0.2
792,POINT (893268.251087433 6284195.441011695),POINT (894627.3394095928 6287282.527083581),0.0013778128275144677,10000.0,0.2
793,POINT (893078.7877318268 6283852.269359116),POINT (890993.6502024349 6281048.67746236),0.0013357806971154825,10000.0,0.2
794,POINT (905455.2268462622 6283130.131561538),POINT (903504.4380732412 6283600.881721158),0.001098246945982778,10000.0,0.2
795,POINT (911485.7791208255 6288627.588760264),POINT (908962.8758604808 6287729.979853809),0.0020971791979776592,10000.0,0.2
